location,event_stage,teamH,scoreTH,teamA,scoreTA,event_status,time,event_url,discipline_code,teamH_code,teamA_code,sex
National Aquatics Centre - Sheet C,Women's Round Robin Session 6,Republic of Korea,CHNPeople's Republic of China,,,,2022-02-13T14:05:00+08:00,../../../en/results/curling/results-women-prel-000603-.htm,CUR,KOR,,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 6,Switzerland,CANCanada,,,,2022-02-13T14:05:00+08:00,../../../en/results/curling/results-women-prel-000604-.htm,CUR,SUI,,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 7,Great Britain,DENDenmark,,,,2022-02-13T20:05:00+08:00,../../../en/results/curling/results-men-prel-000701-.htm,CUR,GBR,,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 7,Switzerland,ITAItaly,,,,2022-02-13T20:05:00+08:00,../../../en/results/curling/results-men-prel-000702-.htm,CUR,SUI,,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 7,People's Republic of China,USAUnited States of America,,,,2022-02-13T20:05:00+08:00,../../../en/results/curling/results-men-prel-000704-.htm,CUR,CHN,,Men's
National Aquatics Centre - Sheet B,Women's Round Robin Session 7,People's Republic of China,JPNJapan,,,,2022-02-14T09:05:00+08:00,../../../en/results/curling/results-women-prel-000702-.htm,CUR,CHN,,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 7,Canada,ROCROC,,,,2022-02-14T09:05:00+08:00,../../../en/results/curling/results-women-prel-000703-.htm,CUR,CAN,,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 7,United States of America,KORRepublic of Korea,,,,2022-02-14T09:05:00+08:00,../../../en/results/curling/results-women-prel-000704-.htm,CUR,USA,,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 8,Canada,ITAItaly,,,,2022-02-14T14:05:00+08:00,../../../en/results/curling/results-men-prel-000801-.htm,CUR,CAN,,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 8,Denmark,NORNorway,,,,2022-02-14T14:05:00+08:00,../../../en/results/curling/results-men-prel-000802-.htm,CUR,DEN,,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 8,ROC,SWESweden,,,,2022-02-14T14:05:00+08:00,../../../en/results/curling/results-men-prel-000803-.htm,CUR,ROC,,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 8,Switzerland,GBRGreat Britain,,,,2022-02-14T14:05:00+08:00,../../../en/results/curling/results-men-prel-000804-.htm,CUR,SUI,,Men's
National Aquatics Centre - Sheet A,Women's Round Robin Session 8,Switzerland,SWESweden,,,,2022-02-14T20:05:00+08:00,../../../en/results/curling/results-women-prel-000801-.htm,CUR,SUI,,Women's
National Aquatics Centre - Sheet B,Women's Round Robin Session 8,Great Britain,CANCanada,,,,2022-02-14T20:05:00+08:00,../../../en/results/curling/results-women-prel-000802-.htm,CUR,GBR,,Women's
National Aquatics Centre - Sheet C,Women's Round Robin Session 8,Japan,KORRepublic of Korea,,,,2022-02-14T20:05:00+08:00,../../../en/results/curling/results-women-prel-000803-.htm,CUR,JPN,,Women's
National Aquatics Centre - Sheet D,Women's Round Robin Session 8,Denmark,ROCROC,,,,2022-02-14T20:05:00+08:00,../../../en/results/curling/results-women-prel-000804-.htm,CUR,DEN,,Women's
National Aquatics Centre - Sheet A,Men's Round Robin Session 9,ROC,NORNorway,,,,2022-02-15T09:05:00+08:00,../../../en/results/curling/results-men-prel-000901-.htm,CUR,ROC,,Men's
National Aquatics Centre - Sheet B,Men's Round Robin Session 9,Canada,CHNPeople's Republic of China,,,,2022-02-15T09:05:00+08:00,../../../en/results/curling/results-men-prel-000902-.htm,CUR,CAN,,Men's
National Aquatics Centre - Sheet C,Men's Round Robin Session 9,Switzerland,USAUnited States of America,,,,2022-02-15T09:05:00+08:00,../../../en/results/curling/results-men-prel-000903-.htm,CUR,SUI,,Men's
National Aquatics Centre - Sheet D,Men's Round Robin Session 9,Sweden,DENDenmark,,,,2022-02-15T09:05:00+08:00,../../../en/results/curling/results-men-prel-000904-.htm,CUR,SWE,,Men's
